互動物件ID,世界名稱     ,通用   ,互動物件名稱                    ,地圖物件ID,物件面向,播放動態,動態時間(S)
202   ,the Ville,<all>,park seats                ,201   ,2   ,3   ,30
203   ,the Ville,<all>,park seats                ,202   ,1   ,3   ,30
185   ,the Ville,<all>,bakery seating            ,184   ,2   ,3   ,30
186   ,the Ville,<all>,bakery seating            ,185   ,1   ,3   ,30
187   ,the Ville,<all>,bakery seating            ,186   ,3   ,3   ,30
188   ,the Ville,<all>,bakery seating            ,187   ,4   ,3   ,30
167   ,the Ville,<all>,Convenience store seats   ,166   ,3   ,3   ,30
170   ,the Ville,<all>,Convenience store seats   ,169   ,4   ,3   ,30
153   ,the Ville,<all>,Western restaurant seating,152   ,2   ,3   ,30
154   ,the Ville,<all>,Western restaurant seating,153   ,1   ,3   ,30
155   ,the Ville,<all>,Western restaurant seating,154   ,3   ,3   ,30
156   ,the Ville,<all>,Western restaurant seating,155   ,4   ,3   ,30
137   ,the Ville,<all>,Chinese restaurant seating,136   ,2   ,3   ,30
138   ,the Ville,<all>,Chinese restaurant seating,137   ,1   ,3   ,30
139   ,the Ville,<all>,Chinese restaurant seating,138   ,3   ,3   ,30
140   ,the Ville,<all>,Chinese restaurant seating,139   ,4   ,3   ,30
121   ,the Ville,<all>,KTV sofa                  ,120   ,2   ,3   ,30
122   ,the Ville,<all>,KTV sofa                  ,121   ,1   ,3   ,30
123   ,the Ville,<all>,KTV sofa                  ,122   ,3   ,3   ,30
124   ,the Ville,<all>,KTV sofa                  ,123   ,4   ,3   ,30
105   ,the Ville,<all>,cinema seats              ,104   ,2   ,3   ,30
89    ,the Ville,<all>,cafe seating              ,88    ,2   ,3   ,30
90    ,the Ville,<all>,cafe seating              ,89    ,1   ,3   ,30
91    ,the Ville,<all>,cafe seating              ,90    ,3   ,3   ,30
92    ,the Ville,<all>,cafe seating              ,91    ,4   ,3   ,30
93    ,the Ville,<all>,Cafe counter seat         ,92    ,3   ,3   ,30
73    ,the Ville,<all>,bar sofa                  ,72    ,2   ,3   ,30
74    ,the Ville,<all>,bar sofa                  ,73    ,1   ,3   ,30
75    ,the Ville,<all>,bar sofa                  ,74    ,3   ,3   ,30
76    ,the Ville,<all>,bar sofa                  ,75    ,4   ,3   ,30
77    ,the Ville,<all>,bar seating               ,76    ,2   ,3   ,30
78    ,the Ville,<all>,bar seating               ,77    ,1   ,3   ,30
79    ,the Ville,<all>,bar seating               ,78    ,3   ,3   ,30
80    ,the Ville,<all>,bar seating               ,79    ,4   ,3   ,30
13    ,the Ville,<all>,Bar round seat            ,12    ,2   ,3   ,30
14    ,the Ville,<all>,Bar round seat            ,13    ,1   ,3   ,30
15    ,the Ville,<all>,Bar round seat            ,14    ,3   ,3   ,30
16    ,the Ville,<all>,Bar round seat            ,15    ,4   ,3   ,30
57    ,the Ville,<all>,harbor bench              ,56    ,2   ,3   ,30
58    ,the Ville,<all>,harbor bench              ,57    ,1   ,3   ,30
59    ,the Ville,<all>,harbor bench              ,58    ,3   ,3   ,30
60    ,the Ville,<all>,harbor bench              ,59    ,4   ,3   ,30
45    ,the Ville,<all>,Supermarket shopping      ,44    ,2   ,6   ,30
46    ,the Ville,<all>,Supermarket shopping      ,45    ,1   ,6   ,30
47    ,the Ville,<all>,Supermarket shopping      ,46    ,3   ,6   ,30
48    ,the Ville,<all>,Supermarket shopping      ,47    ,4   ,6   ,30
29    ,the Ville,<all>,museum sofa               ,28    ,2   ,3   ,30
30    ,the Ville,<all>,museum sofa               ,29    ,1   ,3   ,30
31    ,the Ville,<all>,museum sofa               ,30    ,3   ,3   ,30
32    ,the Ville,<all>,museum sofa               ,31    ,4   ,3   ,30
